Search Query,Bike Name,Price,Section Title,Section Data
Honda bike,Honda Hornet 2.0,"Rs.4,757",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'LED', 'LED Tail Lights': 'X-Shaped LED', 'Low Fuel Indicator': 'Yes'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Tyres and Brakes,"{'Front Brake Diameter': '276 mm', 'Rear Brake Diameter': '220 mm'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Motor & Battery,"{'Peak Power': '17.26 PS @ 8500 rpm', 'Drive Type': 'Chain Drive', 'Transmission': 'Manual'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Charging,"{'Charging At Home': 'No', 'Charging At Charging Station': 'No'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Underpinnings,"{'Suspension Front': 'Upside down Fork', 'Suspension Rear': 'Monoshock', 'Brakes Front': 'Disc', 'Brakes Rear': 'Disc', 'ABS': 'Single Channel', 'Tyre Size': 'Front :-110/70-17 Rear :-140/70-17', 'Wheel Size': 'Front :-431.8 mm,Rear :-431.8 mm', 'Wheels Type': 'Alloy', 'Frame': 'Diamond Type', 'Tubeless Tyre': 'Tubeless'}"
Honda bike,Honda Shine 100,"Rs.2,262",Engine and Transmission,"{'Engine Type': '4 Stroke, SI Engine', 'Displacement': '98.98 cc', 'Max Torque': '8.05 N-m @ 5000 rpm', 'No. of Cylinders': '1', 'Valve Per Cylinder': '2', 'Starting': 'Kick and Self Start', 'Fuel Supply': 'Fuel Injection', 'Clutch': 'Multiplate Wet Clutch', 'Gear Box': '4', 'Bore': '47 mm', 'Stroke': '57.049 mm', 'Compression Ratio': '10.0: 1', 'Emission Type': 'bs6-2.0'}"
Honda bike,Honda Shine 100,"Rs.2,262",Features,"{'Additional Features Of Variant': 'Long and Comfortable Seat - 677 mm, eSP Technology, Side Stand Engine Cut Off', 'Seat Type': 'Single', 'Passenger Footrest': 'Yes'}"
Honda bike,Honda Shine 100,"Rs.2,262",Features and Safety,"{'Braking Type': 'Combi Brake System', 'Additional Features': 'Long and Comfortable Seat - 677 mm, eSP Technology, Side Stand Engine Cut Off', 'Passenger Footrest': 'Yes'}"
Honda bike,Honda Shine 100,"Rs.2,262",Mileage and Performance,{'Overall Mileage': '55 kmpl'}
Honda bike,Honda Shine 100,"Rs.2,262",Chassis and Suspension,{'Body Type': 'Commuter Bikes'}
Honda bike,Honda Shine 100,"Rs.2,262",Dimensions and Capacity,"{'Width': '754 mm', 'Length': '1955 mm', 'Height': '1050 mm', 'Fuel Capacity': '9 L', 'Saddle Height': '786 mm', 'Ground Clearance': '168 mm', 'Wheelbase': '1245 mm', 'Kerb Weight': '99 kg'}"
Honda bike,Honda Shine 100,"Rs.2,262",Electricals,{'Headlight': 'Bulb Type'}
Honda bike,Honda Shine 100,"Rs.2,262",Tyres and Brakes,"{'Front Brake Diameter': '130 mm', 'Rear Brake Diameter': '110 mm'}"
Honda bike,Honda Shine 100,"Rs.2,262",Motor & Battery,"{'Peak Power': '7.38 ps @ 7500 rpm', 'Drive Type': 'Chain Drive'}"
Honda bike,Honda Shine 100,"Rs.2,262",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': 'Twin', 'Brakes Front': 'Drum', 'Brakes Rear': 'Drum', 'Wheel Size': 'Alloy', 'Wheels Type': 'Alloy', 'Frame': 'Diamond Type'}"
Honda bike,Honda Hness CB350,"Rs.6,537",Engine and Transmission,"{'Engine Type': '4 Stroke, SI Engine', 'Displacement': '348.36 cc', 'Max Torque': '30 Nm @ 3000 rpm', 'Starting': 'Self Start Only', 'Fuel Supply': 'Fuel Injection', 'Clutch': 'Multiplate Wet Clutch', 'Gear Box': '5 Speed', 'Bore': '70 mm', 'Stroke': '90.519 mm', 'Compression Ratio': '9.5:1', 'Emission Type': 'bs6-2.0'}"
Honda bike,Honda Hness CB350,"Rs.6,537",Features,"{'Instrument Console': 'Analogue and Digital', 'Bluetooth Connectivity': 'Bluetooth', 'Navigation': 'Yes', 'Call/SMS Alerts': 'Yes', 'Music Control': 'Yes', 'Speedometer': 'Analogue', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Additional Features Of Variant': 'Seat Length - 628 mmTwin - Hydraulic, Honda Selectable Torque Control, Battery Voltage Meter, Gear Position Indicator, ESS (Emergency Stop Signal), Hazarad Switch, Side Stand With Engine Inhibitor, Honda Smartphone Voice Control system (HSVCS), Weather Information & Volume Adjustments, Dual Horn', 'Seat Type': 'Split', 'Clock': 'Yes', 'Passenger Footrest': 'Yes', 'Distance to Empty Indicator': 'Yes'}"
Honda bike,Honda Hness CB350,"Rs.6,537",Features and Safety,"{'Speedometer': 'Analogue', 'Odometer': 'Digital', 'Tripmeter': 'Digital', 'Fuel Gauge': 'Digital', 'Clock': 'Yes', 'Additional Features': 'Seat Length - 628 mmTwin - Hydraulic, Honda Selectable Torque Control, Battery Voltage Meter, Gear Position Indicator, ESS (Emergency Stop Signal), Hazarad Switch, Side Stand With Engine Inhibitor, Honda Smartphone Voice Control system (HSVCS), Weather Information & Volume Adjustments, Dual Horn', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes', 'Real Time Mileage Indicator': 'Yes', 'Display': 'Yes'}"
Honda bike,Honda Hness CB350,"Rs.6,537",Mileage and Performance,"{'City Mileage': '45.8 kmpl', 'Highway Mileage': '42.17 kmpl', 'Acceleration (0-80 Kmph)': '7.48s', 'Acceleration (0-100 Kmph)': '12.55s', 'Quarter Mile': '18.24s @ 112.43kmph', 'Roll-ons (30-70 kmph)': '6.11s', 'Roll-ons (40-80 kmph)': '8.74s', 'Braking (60-0 Kmph)': '16.87m', 'Braking (80-0 Kmph)': '29.01m', 'Braking (100-0 Kmph)': '45.74m'}"
Honda bike,Honda Hness CB350,"Rs.6,537",Chassis and Suspension,{'Body Type': 'Cruiser Bikes'}
Honda bike,Honda Hness CB350,"Rs.6,537",Dimensions and Capacity,"{'Width': '789 mm', 'Length': '2163 mm', 'Height': '1107 mm', 'Fuel Capacity': '15 L', 'Saddle Height': '800 mm', 'Ground Clearance': '166 mm', 'Wheelbase': '1441 mm', 'Kerb Weight': '181 kg'}"
