Search Query,Bike Name,Price,Section Title,Section Data
Suzuki bike,Suzuki Avenis,"Rs.3,075",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'Bulb'}"
Suzuki bike,Suzuki Avenis,"Rs.3,075",Motor & Battery,"{'Peak Power': '8.7 PS @ 6750 rpm', 'Drive Type': 'Belt Drive', 'Battery Type': 'Lead Acid', 'Transmission': 'Automatic'}"
Suzuki bike,Suzuki Avenis,"Rs.3,075",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': 'Swing Arm', 'Brakes Front': 'Disc', 'Brakes Rear': 'Drum', 'Tyre Size': 'Front :-90/90-12 Rear :-90/100-10', 'Wheel Size': 'Front :-304.8 mm Rear :-254 mm inch', 'Wheels Type': 'Alloy', 'Tubeless Tyre': 'Tubeless'}"
Suzuki bike,Suzuki Avenis,"Rs.3,075",App Features,"{'Calls & Messaging': 'Yes', 'Navigation assist': 'Yes'}"
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",Engine and Transmission,"{'Engine Type': '4-stroke, Single-cylinder, oil-cooled, SOHC', 'Displacement': '249 cc', 'Max Torque': '22.2 Nm @ 7300 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Oil Cooled', 'Valve Per Cylinder': '4', 'Starting': 'Self Start Only', 'Fuel Supply': 'Fuel Injection', 'Ignition': 'Electronic ignition', 'Gear Box': '6 Speed', 'Bore': '76.0 mm', 'Stroke': '54.9 mm', 'Compression Ratio': '10.7 : 1', 'Emission Type': 'bs6-2.0'}"
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",Features,"{'Bluetooth Connectivity': 'Bluetooth', 'Navigation': 'Yes', 'Call/SMS Alerts': 'Yes', 'USB Charging Port': 'Yes', 'Speedometer': 'Digital', 'Techometer': 'Digital', 'Tripmeter': 'Digital', 'Additional Features Of Variant': 'Lubrication System - Wet sump, Rake - 27°, Trail - 97 mm, ETA Update, Miss Call Alert & Caller id, Whatsapp Alert, Phone Battery Level Display, Turn-By-Turn Navigation, Suzuki Eco Performance, Suzuki Oil Cooling System', 'Seat Type': 'Split', 'Body Graphics': 'Yes', 'Passenger Footrest': 'Yes'}"
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",Features and Safety,"{'Speedometer': 'Digital', 'Tachometer': 'Digital', 'Tripmeter': 'Digital', 'Fuel Gauge': 'Digital', 'Pass Switch': 'Yes', 'Adjustable Windscreen': 'Yes', 'Additional Features': 'Lubrication System - Wet sump, Rake - 27°, Trail - 97 mm, ETA Update, Miss Call Alert & Caller id, Whatsapp Alert, Phone Battery Level Display, Turn-By-Turn Navigation, Suzuki Eco Performance, Suzuki Oil Cooling System', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes'}"
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",Mileage and Performance,{'Overall Mileage': '32 kmpl'}
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",Chassis and Suspension,"{'Body Type': 'Adventure Tourer Bikes', 'Body Graphics': 'Yes'}"
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",Dimensions and Capacity,"{'Width': '880 mm', 'Length': '2180 mm', 'Height': '1355 mm', 'Fuel Capacity': '12 l', 'Saddle Height': '835 mm', 'Ground Clearance': '205 mm', 'Wheelbase': '1440 mm', 'Kerb Weight': '167 kg'}"
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'LED'}"
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",Motor & Battery,"{'Peak Power': '26.5 PS @ 9300 rpm', 'Battery Type': 'Lead Acid', 'Transmission': 'Manual'}"
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",Underpinnings,"{'Suspension Front': 'Telescopic, coil spring, oil damped', 'Suspension Rear': 'Swing arm type, coil spring, oil damped', 'Brakes Front': 'Disc', 'Brakes Rear': 'Disc', 'ABS': 'Dual Channel', 'Tyre Size': 'Front :-100/90-19 Rear :-140/70-17', 'Wheel Size': 'Front :-482.6 mm Rear :-431.8 mm inch', 'Wheels Type': 'Alloy', 'Tubeless Tyre': 'Tubeless'}"
Suzuki bike,Suzuki V-Strom SX,"Rs.6,635",App Features,"{'Calls & Messaging': 'Yes', 'Navigation assist': 'Yes'}"
